date,steps
2023-01-25,7186
2023-01-26,8109
2023-01-27,6484
2023-01-28,10442
2023-01-29,7580
2023-01-30,7139
2023-01-31,8760
2023-02-01,5718
2023-02-02,7519
2023-02-03,2743
2023-02-04,4710
2023-02-05,7253
2023-02-06,7212
2023-02-07,3704
2023-02-08,3516
2023-02-09,5538
2023-02-10,20002
2023-02-11,15915
2023-02-12,4799
2023-02-13,8490
2023-02-14,6712
2023-02-15,7085
2023-02-16,7800
2023-02-17,8913
2023-02-18,10123
2023-02-19,5816
2023-02-20,9576
2023-02-21,7033
2023-02-22,7090
2023-02-23,8446
2023-02-24,6175
2023-02-25,9818
2023-02-26,8179
2023-02-27,7697
2023-02-28,7324
2023-03-01,10205
2023-03-02,8168
2023-03-03,9582
2023-03-04,11225
2023-03-05,8567
2023-03-06,5930
2023-03-07,9078
2023-03-08,7818
2023-03-09,7024
2023-03-10,9881
2023-03-11,8830
2023-03-12,8460
2023-03-13,7900
2023-03-14,8257
2023-03-15,4397
2023-03-16,6969
2023-03-17,8751
2023-03-18,7199
2023-03-19,2448
2023-03-20,8157
2023-03-21,3432
2023-03-22,3816
2023-03-23,6598
2023-03-24,2630
2023-03-25,19141
2023-03-26,11654
2023-03-27,9982
2023-03-28,7359
2023-03-29,6335
2023-03-30,4170
2023-03-31,11674
2023-04-01,10241
2023-04-02,6952
2023-04-03,11180
2023-04-04,10437
2023-04-05,7963
2023-04-06,9591
2023-04-07,11633
2023-04-08,8875
2023-04-09,1627
2023-04-10,7134
2023-04-11,6110
2023-04-12,4506
2023-04-13,8546
2023-04-14,12272
2023-04-15,13402
2023-04-16,6460
2023-04-17,9074
2023-04-18,6281
2023-04-19,7676
2023-04-20,7697
2023-04-21,7986
2023-04-22,16963
2023-04-23,4425
2023-04-24,9223
2023-04-25,8890
2023-04-26,6853
2023-04-27,11010
2023-04-28,11646
2023-04-29,4900
2023-04-30,3083
2023-05-01,7227
2023-05-02,7245
2023-05-03,7143
2023-05-04,7133
2023-05-05,9808
2023-05-06,10114
2023-05-07,8882
2023-05-08,9787
2023-05-09,7443
2023-05-10,6679
2023-05-11,13015
2023-05-12,12585
2023-05-13,20790
2023-05-14,11160
2023-05-15,7386
2023-05-16,8320
2023-05-17,6723
2023-05-18,7323
2023-05-19,10131
2023-05-20,5647
2023-05-21,6971
2023-05-22,5964
2023-05-23,8905
2023-05-24,6704
2023-05-25,3519
2023-05-26,3400
2023-05-27,1118
2023-05-28,6465
2023-05-29,7761
2023-05-30,4717
2023-05-31,2902
2023-06-01,9528
2023-06-02,5028
2023-06-03,3386
2023-06-04,4195
2023-06-05,6442
2023-06-06,3675
2023-06-07,7188
2023-06-08,8484
2023-06-09,4412
2023-06-10,6412
2023-06-11,4093
2023-06-12,2725
2023-06-13,2918
2023-06-14,17801
2023-06-15,4008
2023-06-16,3869
2023-06-17,6106
2023-06-18,2780
2023-06-19,4271
2023-06-20,5839
